2011-10-12 14:27:36 status half-configured base-passwd 3.5.23
2011-10-12 14:27:36 status unpacked base-passwd 3.5.23
2011-10-12 14:27:36 status half-installed base-passwd 3.5.23
2011-10-12 14:27:37 status half-installed base-passwd 3.5.23
2011-10-12 14:27:37 status unpacked base-passwd 3.5.23
2011-10-12 14:27:37 status unpacked base-passwd 3.5.23
2011-10-12 14:27:37 install bash <none> 4.2-0ubuntu4
2011-10-12 14:27:37 status half-installed bash 4.2-0ubuntu4
2011-10-12 14:27:37 status unpacked bash 4.2-0ubuntu4
2011-10-12 14:27:37 status unpacked bash 4.2-0ubuntu4
2011-10-12 14:27:37 install bsdutils <none> 1:2.19.1-2ubuntu3
2011-10-12 14:27:37 status half-installed bsdutils 1:2.19.1-2ubuntu3
2011-10-12 14:27:37 status unpacked bsdutils 1:2.19.1-2ubuntu3
2011-10-12 14:27:37 status unpacked bsdutils 1:2.19.1-2ubuntu3
2011-10-12 14:27:37 install busybox-initramfs <none> 1:1.18.4-2ubuntu2
2011-10-12 14:27:37 status half-installed busybox-initramfs 1:1.18.4-2ubuntu2
2011-10-12 14:27:37 status unpacked busybox-initramfs 1:1.18.4-2ubuntu2
2011-10-12 14:27:37 status unpacked busybox-initramfs 1:1.18.4-2ubuntu2
2011-10-12 14:27:37 install coreutils <none> 8.5-1ubuntu6
2011-10-12 14:27:37 status half-installed coreutils 8.5-1ubuntu6
2011-10-12 14:27:37 status unpacked coreutils 8.5-1ubuntu6
2011-10-12 14:27:37 status unpacked coreutils 8.5-1ubuntu6
2011-10-12 14:27:37 install cpio <none> 2.11-7ubuntu1
2011-10-12 14:27:37 status half-installed cpio 2.11-7ubuntu1
2011-10-12 14:27:37 status unpacked cpio 2.11-7ubuntu1
2011-10-12 14:27:37 status unpacked cpio 2.11-7ubuntu1
2011-10-12 14:27:37 install dash <none> 0.5.5.1-7.4ubuntu1
2011-10-12 14:27:37 status half-installed dash 0.5.5.1-7.4ubuntu1
2011-10-12 14:27:37 status unpacked dash 0.5.5.1-7.4ubuntu1
2011-10-12 14:27:37 status unpacked dash 0.5.5.1-7.4ubuntu1
2011-10-12 14:27:37 upgrade debconf 1.5.40ubuntu1 1.5.40ubuntu1
2011-10-12 14:27:37 status half-configured debconf 1.5.40ubuntu1
2011-10-12 14:27:37 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:37 status half-installed debconf 1.5.40ubuntu1
2011-10-12 14:27:37 status half-installed debconf 1.5.40ubuntu1
2011-10-12 14:27:37 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:37 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:37 install debianutils <none> 4.0.2
2011-10-12 14:27:37 status half-installed debianutils 4.0.2
2011-10-12 14:27:37 status unpacked debianutils 4.0.2
2011-10-12 14:27:37 status unpacked debianutils 4.0.2
2011-10-12 14:27:37 install diffutils <none> 1:3.0-1
2011-10-12 14:27:37 status half-installed diffutils 1:3.0-1
2011-10-12 14:27:37 status unpacked diffutils 1:3.0-1
2011-10-12 14:27:37 status unpacked diffutils 1:3.0-1
2011-10-12 14:27:37 upgrade dpkg 1.16.0.3ubuntu5 1.16.0.3ubuntu5
2011-10-12 14:27:37 status half-configured dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:37 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:37 status half-installed dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:38 status half-installed dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:38 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:39 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:39 install e2fslibs <none> 1.41.14-1ubuntu3
2011-10-12 14:27:39 status half-installed e2fslibs 1.41.14-1ubuntu3
2011-10-12 14:27:39 status unpacked e2fslibs 1.41.14-1ubuntu3
2011-10-12 14:27:39 status unpacked e2fslibs 1.41.14-1ubuntu3
2011-10-12 14:27:39 install e2fsprogs <none> 1.41.14-1ubuntu3
2011-10-12 14:27:39 status half-installed e2fsprogs 1.41.14-1ubuntu3
2011-10-12 14:27:39 status unpacked e2fsprogs 1.41.14-1ubuntu3
2011-10-12 14:27:39 status unpacked e2fsprogs 1.41.14-1ubuntu3
2011-10-12 14:27:39 install findutils <none> 4.4.2-1ubuntu3
2011-10-12 14:27:39 status half-installed findutils 4.4.2-1ubuntu3
